,URL,Verified,Verified Accounts,Year,Quarter,Month,Day,Name / ID,Location,Has Description,Followers,Status Available,Accounts Without a Link,Brand,Market,Platform
54,twitter.com/_thina,True,True,2021,Qtr 1,March,9,Axe,Thailand,Has Description,119.0,True,Has Link,dualjape,United Kingdom of Great Britain and Northern Island,Twitter
55,twitter.com/_TRebr,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,20976.0,True,Has Link,handfoxy,United States of America,Twitter
56,twitter.com/_uyada,False,False,2021,Qtr 1,March,9,Axe,Uruguay,Has Description,16736.0,True,Has Link,dualjape,United Kingdom of Great Britain and Northern Island,Twitter
57,twitter.com/_zaana,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,24776.0,True,Has Link,techfond,India,Twitter
58,twitter.com/inaece,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,1.0,True,No Link,bassvest,Thailand,Twitter
59,twitter.com/ebreid,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,41943.0,True,Has Link,ironsoft,Argentina,Twitter
60,twitter.com/adadia,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,9938.0,True,Has Link,ironsoft,Azerbaijan,Twitter
61,twitter.com/ananar,False,False,2021,Qtr 1,March,9,Axe,Accra,Has Description,306.0,True,Has Link,ironsoft,Bangladesh,Twitter
62,twitter.com/ecebia,False,False,2021,Qtr 1,March,9,Axe,Greece,Has Description,11.0,True,Has Link,dualjape,Brazil,Twitter
63,twitter.com/eidnau,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,25.0,False,No Link,germanrosy,Chile,Twitter
64,twitter.com/dianbr,False,False,2021,Qtr 1,March,9,Axe,India,Has Description,587.0,True,Has Link,songseem,China,Twitter
65,twitter.com/narare,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,2692.0,True,No Link,songseem,Colombia,Twitter
66,twitter.com/bia_za,True,True,2021,Qtr 1,March,9,Axe,Arabia,Has Description,2136.0,True,Has Link,aquapeak,Egypt,Twitter
67,twitter.com/nauees,True,True,2021,Qtr 1,March,9,Axe,Australia,Has Description,1003.0,True,Has Link,bassvest,Global,Twitter
68,twitter.com/nbrejp,True,True,2021,Qtr 1,March,9,Axe,Brazil,Has Description,525.0,True,Has Link,aquapeak,Greece,Twitter
69,twitter.com/areemx,True,True,2021,Qtr 1,March,9,Axe,United States,Has Description,37238.0,True,Has Link,handfoxy,Hong Kong,Twitter
70,twitter.com/_zaeph,True,True,2021,Qtr 1,March,9,Axe,South Africa,Has Description,1060.0,True,Has Link,dualjape,Indonesia,Twitter
71,twitter.com/eesile,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,1.0,True,No Link,techfond,"Iran, Islamic Republic of",Twitter
72,twitter.com/ejpnpy,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,346.0,True,Has Link,handfoxy,Italy,Twitter
73,twitter.com/emxiye,True,True,2021,Qtr 1,March,9,Axe,México,Has Description,1301.0,True,Has Link,aquapeak,Japan,Twitter
74,twitter.com/ephnuk,False,False,2021,Qtr 1,March,9,Axe,Philippines,Has Description,117.0,True,No Link,dualjape,Kazakhstan,Twitter
75,twitter.com/ileeuk,False,False,2021,Qtr 1,March,9,Axe,"Santiago, Chile.",Has Description,1600.0,True,Has Link,weiwind,Malaysia,Twitter
76,twitter.com/npyear,False,False,2021,Qtr 1,March,9,Axe,Paraguay,Has Description,4138.0,True,Has Link,aquapeak,Morocco,Twitter
77,twitter.com/iyeuoy,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,4702.0,True,Has Link,aquapeak,Pakistan,Twitter
78,twitter.com/nukbia,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,37683.0,True,Has Link,germanrosy,Paraguay,Twitter
79,twitter.com/euk_py,True,True,2021,Qtr 1,March,9,Axe,United Kingdom,Has Description,16207.0,True,Has Link,techfond,Peru,Twitter
80,twitter.com/earybr,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,457.0,True,Has Link,weiwind,Philippines,Twitter
81,twitter.com/uoyada,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,69.0,True,No Link,dualjape,Portugal,Twitter
82,twitter.com/biayfc,False,False,2021,Qtr 1,March,9,Axe,Middle East,Has Description,13096.0,True,Has Link,germanrosy,Romania,Twitter
83,twitter.com/_pyana,False,False,2021,Qtr 1,March,9,Axe,Paraguay,Has Description,402.0,True,Has Link,dualjape,Russian Federation,Twitter
84,twitter.com/ybryph,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,677.0,True,Has Link,dualjape,Saudi Arabia,Twitter
85,twitter.com/adaypk,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,0.0,False,No Link,germanrosy,Singapore,Twitter
86,twitter.com/yfcoap,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,39.0,True,No Link,handfoxy,"Taiwan, Province of China",Twitter
87,twitter.com/anayUK,False,False,2021,Qtr 1,March,9,Axe,Accra Ghana,Has Description,730.0,True,Has Link,dualjape,Thailand,Twitter
88,twitter.com/yphyZA,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,2.0,False,No Link,aquapeak,Turkey,Twitter
89,twitter.com/ypkynx,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,790.0,True,Has Link,ironsoft,Ukraine,Twitter
90,twitter.com/oapmen,True,True,2021,Qtr 1,March,9,Axe,United Kingdom,Has Description,10117.0,True,No Link,aquapeak,United States of America,Twitter
91,twitter.com/yUKesg,True,True,2021,Qtr 1,March,9,Axe,United Kingdom,Has Description,141.0,True,Has Link,ironsoft,Uruguay,Twitter
92,twitter.com/yZAeru,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,1992.0,True,No Link,aquapeak,Vietnam,Twitter
93,twitter.com/ynxana,True,True,2021,Qtr 1,March,9,Axe,UK,Has Description,58111.0,True,Has Link,germanrosy,Brazil,Twitter
94,twitter.com/mennya,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,4583.0,True,Has Link,songseem,Global,Twitter
95,twitter.com/esgdia,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,4.0,True,Has Link,handfoxy,India,Twitter
96,twitter.com/erutng,False,False,2021,Qtr 1,March,9,Axe,Lima-Perú,Has Description,3.0,True,No Link,aquapeak,Indonesia,Twitter
97,twitter.com/ana_bo,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,3131.0,True,No Link,aquapeak,Philippines,Twitter
98,twitter.com/nya_de,False,False,2021,Qtr 1,March,9,Axe,Kenya,Has Description,1176.0,True,Has Link,handfoxy,United Kingdom of Great Britain and Northern Island,Twitter
99,twitter.com/dia_el,False,False,2021,Qtr 1,March,9,Axe,India,Has Description,853.0,True,Has Link,germanrosy,Vietnam,Twitter
100,twitter.com/tng_id,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,3165.0,True,Has Link,handfoxy,Canada,Twitter
101,twitter.com/_bo_ph,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,97.0,True,No Link,vandawn,United States of America,Twitter
102,twitter.com/_desia,True,True,2021,Qtr 1,March,9,Axe,"Hamburg, Germany",Has Description,131.0,True,Has Link,ironsoft,United States of America,Twitter
103,twitter.com/_elbia,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,8.0,True,No Link,handfoxy,United States of America,Twitter
104,twitter.com/_idARG,True,True,2021,Qtr 1,March,9,Axe,Indonesia,Has Description,22300.0,True,Has Link,bassvest,Argentina,Twitter
105,twitter.com/_phaau,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,11003.0,True,Has Link,dualjape,Australia,Twitter
106,twitter.com/siaile,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,27.0,True,No Link,carslord,Austria,Twitter
107,twitter.com/biaaea,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,24150.0,True,No Link,aquapeak,Bangladesh,Twitter
108,twitter.com/ARGesp,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,11599.0,True,Has Link,aquapeak,Belgium,Twitter
109,twitter.com/aauana,True,True,2021,Qtr 1,March,9,Axe,Australia,Has Description,3860.0,True,Has Link,dualjape,"Bolivia, Plurinational State of",Twitter
110,twitter.com/ileMDA,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,1.0,True,No Link,aquapeak,Brazil,Twitter
111,twitter.com/aeanec,False,False,2021,Qtr 1,March,9,Axe,Kenya,Has Description,1729.0,True,Has Link,handfoxy,Bulgaria,Twitter
112,twitter.com/espnfr,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,6633.0,True,Has Link,carslord,Canada,Twitter
113,twitter.com/ananPy,False,False,2021,Qtr 1,March,9,Axe,Ghana,Has Description,2837.0,True,Has Link,germanrosy,Chile,Twitter
114,twitter.com/MDAaMx,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,3107.0,True,Has Link,dualjape,China,Twitter
115,twitter.com/necang,False,False,2021,Qtr 1,March,9,Axe,Ecuador,Has Description,59.0,True,Has Link,techfond,Colombia,Twitter
116,twitter.com/nfranl,False,False,2021,Qtr 1,March,9,Axe,France,Has Description,390.0,True,Has Link,carslord,Croatia,Twitter
117,twitter.com/nPyska,False,False,2021,Qtr 1,March,9,Axe,"Asunción, Paraguay",Has Description,7813.0,True,Has Link,weiwind,Czechia,Twitter
118,twitter.com/aMxand,True,True,2021,Qtr 1,March,9,Axe,México,Has Description,18656.0,True,Has Link,aquapeak,Denmark,Twitter
119,twitter.com/angiye,False,False,2021,Qtr 1,March,9,Axe,Nigeria,Has Description,687.0,True,Has Link,dualjape,Finland,Twitter
120,twitter.com/anluay,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,18.0,False,Has Link,techfond,France,Twitter
121,twitter.com/skanPY,False,False,2021,Qtr 1,March,9,Axe,"Warsaw, Poland",Has Description,5.0,True,Has Link,ironsoft,Germany,Twitter
122,twitter.com/and_Py,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,17.0,False,No Link,dualjape,Ghana,Twitter
123,twitter.com/iyeina,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,7487.0,True,Has Link,aquapeak,Global,Twitter
124,twitter.com/uayvia,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,13731.0,True,Has Link,aquapeak,Greece,Twitter
125,twitter.com/nPYuay,False,False,2021,Qtr 1,March,9,Axe,Paraguay,Has Description,881.0,True,Has Link,handfoxy,Hong Kong,Twitter
126,twitter.com/_Pyeru,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,7880.0,True,Has Link,techfond,Hungary,Twitter
127,twitter.com/inaluy,False,False,2021,Qtr 1,March,9,Axe,Argentina,Has Description,44421.0,True,Has Link,dualjape,India,Twitter
128,twitter.com/via_ZA,False,False,2021,Qtr 1,March,9,Axe,Bolivia,Has Description,45.0,True,No Link,aquapeak,Indonesia,Twitter
129,twitter.com/uayMen,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,15.0,False,No Link,weiwind,"Iran, Islamic Republic of",Twitter
130,twitter.com/erubia,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,3561.0,True,No Link,carslord,Israel,Twitter
131,twitter.com/luyrts,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,8241.0,True,Has Link,aquapeak,Italy,Twitter
132,twitter.com/_ZAkid,True,True,2021,Qtr 1,March,9,Axe,South Africa,Has Description,20261.0,True,Has Link,dualjape,Japan,Twitter
133,twitter.com/Mensia,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,5306.0,True,Has Link,techfond,Kazakhstan,Twitter
134,twitter.com/biakPH,False,False,2021,Qtr 1,March,9,Axe,Arabia,Has Description,1215.0,True,Has Link,aquapeak,Kenya,Twitter
135,twitter.com/rtskPK,False,False,2021,Qtr 1,March,9,Axe,India,Has Description,2958.0,True,Has Link,aquapeak,"Korea, Republic of",Twitter
136,twitter.com/kidksg,True,True,2021,Qtr 1,March,9,Axe,Indonesia,Has Description,34157.0,True,Has Link,germanrosy,Latvia,Twitter
137,twitter.com/siaand,False,False,2021,Qtr 1,March,9,Axe,Malaysia,Has Description,14050.0,True,Has Link,weiwind,Lebanon,Twitter
138,twitter.com/kPHure,True,True,2021,Qtr 1,March,9,Axe,"Manila, Philippines",Has Description,16899.0,True,Has Link,dualjape,Malaysia,Twitter
139,twitter.com/kPKeuk,False,False,2021,Qtr 1,March,9,Axe,"Karachi, Pakistan",Has Description,256.0,True,Has Link,handfoxy,Malta,Twitter
140,twitter.com/ksgAxe,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,3.0,False,No Link,techfond,Mexico,Twitter
141,twitter.com/and_be,False,False,2021,Qtr 1,March,9,Axe,Argentina,Has Description,419.0,True,Has Link,dualjape,Morocco,Twitter
142,twitter.com/urevia,True,True,2021,Qtr 1,March,9,Axe,United Kingdom,Has Description,21573.0,True,Has Link,handfoxy,Netherlands,Twitter
143,twitter.com/eukile,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,1.0,True,No Link,dualjape,New Zealand,Twitter
144,twitter.com/necang,False,False,2022,Qtr 1,January,31,"('Connection aborted.', HTTPException('got more than 100 headers'))",Vietnam,No Description,1.0,True,No Link,techfond,Colombia,Twitter
145,twitter.com/uayvia,False,False,2021,Qtr 4,December,31,"('Connection aborted.', HTTPException('got more than 100 headers'))",Vietnam,No Description,1.0,True,No Link,aquapeak,Greece,Twitter
146,twitter.com/_zaana,False,False,2021,Qtr 4,December,31,'@Dove_ZA,Vietnam,Has Description,24521.0,True,Has Link,techfond,India,Twitter
147,twitter.com/_zaana,False,False,2022,Qtr 1,January,31,'@Dove_ZA,Vietnam,Has Description,24509.0,True,Has Link,techfond,India,Twitter
148,twitter.com/_zaana,False,False,2022,Qtr 2,May,9,'@Dove_ZA,Vietnam,Has Description,24480.0,True,Has Link,techfond,India,Twitter
149,twitter.com/IDNmex,False,False,2022,Qtr 1,January,31,"[{'code': 63, 'message': 'User has been suspended.'}]",Vietnam,No Description,1.0,True,No Link,ironsoft,Spain,Twitter
150,twitter.com/IDNmex,False,False,2022,Qtr 2,May,9,"[{'code': 63, 'message': 'User has been suspended.'}]",Vietnam,No Description,1.0,True,No Link,ironsoft,Spain,Twitter
151,twitter.com/inaece,False,False,2021,Qtr 4,December,31,"[{'code': 63, 'message': 'User has been suspended.'}]",Vietnam,No Description,1.0,True,No Link,bassvest,Thailand,Twitter
152,twitter.com/inaece,False,False,2022,Qtr 1,January,31,"[{'code': 63, 'message': 'User has been suspended.'}]",Vietnam,No Description,1.0,True,No Link,bassvest,Thailand,Twitter
153,twitter.com/inaece,False,False,2022,Qtr 2,May,9,"[{'code': 63, 'message': 'User has been suspended.'}]",Vietnam,No Description,1.0,True,No Link,bassvest,Thailand,Twitter
154,twitter.com/eukile,False,False,2021,Qtr 4,December,31,"[{'code': 63, 'message': 'User has been suspended.'}]",Vietnam,No Description,1.0,True,No Link,dualjape,New Zealand,Twitter
155,twitter.com/eukile,False,False,2022,Qtr 1,January,31,"[{'code': 63, 'message': 'User has been suspended.'}]",Vietnam,No Description,1.0,True,No Link,dualjape,New Zealand,Twitter
156,twitter.com/eukile,False,False,2022,Qtr 2,May,9,"[{'code': 63, 'message': 'User has been suspended.'}]",Vietnam,No Description,1.0,True,No Link,dualjape,New Zealand,Twitter
157,twitter.com/eJPnes,True,True,2021,Qtr 4,December,31,【公式】AXE/アックス,Vietnam,Has Description,37032.0,True,Has Link,dualjape,El Salvador,Twitter
158,twitter.com/eJPnes,True,True,2022,Qtr 1,January,31,【公式】AXE/アックス,Vietnam,Has Description,35684.0,True,Has Link,dualjape,El Salvador,Twitter
159,twitter.com/eJPnes,True,True,2022,Qtr 2,May,9,【公式】AXE/アックス,Vietnam,Has Description,32624.0,True,Has Link,dualjape,El Salvador,Twitter
160,twitter.com/ileMDA,False,False,2021,Qtr 4,December,31,Account Takeover by natvarsinghc,Vietnam,Has Description,1.0,False,No Link,aquapeak,Brazil,Twitter
161,twitter.com/ileMDA,False,False,2022,Qtr 1,January,31,Account Takeover by natvarsinghc,Vietnam,Has Description,2.0,False,No Link,aquapeak,Brazil,Twitter
162,twitter.com/ileMDA,False,False,2022,Qtr 2,May,9,Account Takeover by natvarsinghc,Vietnam,Has Description,2.0,False,No Link,aquapeak,Brazil,Twitter
163,twitter.com/Axetam,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,128376.0,True,Has Link,aquapeak,Norway,Twitter
164,twitter.com/Axetam,True,True,2021,Qtr 4,December,31,Axe,Vietnam,Has Description,146109.0,True,Has Link,aquapeak,Norway,Twitter
165,twitter.com/Axetam,True,True,2022,Qtr 1,January,31,Axe,Vietnam,Has Description,146681.0,True,Has Link,aquapeak,Norway,Twitter
166,twitter.com/Axetam,True,True,2022,Qtr 2,May,9,Axe,Vietnam,Has Description,150964.0,True,Has Link,aquapeak,Norway,Twitter
167,twitter.com/_nluay,True,True,2021,Qtr 4,December,31,Axe,Amsterdam,Has Description,30373.0,True,Has Link,vandawn,Argentina,Twitter
168,twitter.com/_nluay,True,True,2022,Qtr 1,January,31,Axe,Amsterdam,Has Description,30290.0,True,Has Link,vandawn,Argentina,Twitter
169,twitter.com/_nluay,True,True,2022,Qtr 2,May,9,Axe,Amsterdam,Has Description,30163.0,True,Has Link,vandawn,Argentina,Twitter
170,twitter.com/erutng,False,False,2021,Qtr 4,December,31,Axe,Lima-Perú,Has Description,3.0,True,No Link,aquapeak,Indonesia,Twitter
171,twitter.com/erutng,False,False,2022,Qtr 1,January,31,Axe,Lima-Perú,Has Description,3.0,True,No Link,aquapeak,Indonesia,Twitter
172,twitter.com/erutng,False,False,2022,Qtr 2,May,9,Axe,Lima-Perú,Has Description,3.0,True,No Link,aquapeak,Indonesia,Twitter
173,twitter.com/lubada,False,False,2021,Qtr 4,December,31,Axe Angels,Vietnam,Has Description,2768.0,True,No Link,songseem,"Bolivia, Plurinational State of",Twitter
174,twitter.com/lubada,False,False,2022,Qtr 1,January,31,Axe Angels,Vietnam,Has Description,2766.0,True,No Link,songseem,"Bolivia, Plurinational State of",Twitter
175,twitter.com/lubada,False,False,2022,Qtr 2,May,9,Axe Angels,Vietnam,Has Description,2749.0,True,No Link,songseem,"Bolivia, Plurinational State of",Twitter
176,twitter.com/jan_ru,False,False,2021,Qtr 4,December,31,Axe Azerbaijan,Azərbaycan,Has Description,21.0,True,Has Link,aquapeak,Canada,Twitter
177,twitter.com/jan_ru,False,False,2022,Qtr 2,May,9,Axe Azerbaijan,Azərbaycan,Has Description,21.0,True,Has Link,aquapeak,Canada,Twitter
178,twitter.com/_beain,False,False,2021,Qtr 1,March,9,AXE Belgium,Vietnam,Has Description,195.0,True,Has Link,ironsoft,Pakistan,Twitter
179,twitter.com/_beain,False,False,2021,Qtr 4,December,31,AXE Belgium,Vietnam,Has Description,188.0,True,Has Link,ironsoft,Pakistan,Twitter
180,twitter.com/_beain,False,False,2022,Qtr 1,January,31,AXE Belgium,Vietnam,Has Description,187.0,True,Has Link,ironsoft,Pakistan,Twitter
181,twitter.com/_beain,False,False,2022,Qtr 2,May,9,AXE Belgium,Vietnam,Has Description,188.0,True,Has Link,ironsoft,Pakistan,Twitter
182,twitter.com/viauay,False,False,2021,Qtr 1,March,9,AXE Bolivia,Bolivia,No Description,199.0,True,Has Link,dualjape,Panama,Twitter
183,twitter.com/viauay,False,False,2021,Qtr 4,December,31,AXE Bolivia,Bolivia,No Description,199.0,True,Has Link,dualjape,Panama,Twitter
